5RrHzXKmwVd5BCq4UzyJPd;D is for Dangerous;61;138107;0;Arctic Monkeys;7Ln80lUS6He07XvHI8qqHH;2007-04-22;0.555;0.925;1;-4.689;1;0.0362;1.09e-05;0.000161;0.0659;0.77;145.061;4
4N2yjWLIxZjOXDrCu2VlJe;The Bad Thing;60;145213;0;Arctic Monkeys;7Ln80lUS6He07XvHI8qqHH;2007-04-22;0.55;0.952;2;-3.638;1;0.075;0.00103;0.0;0.257;0.538;111.066;4
0idZZsnM7nuSYanlpKTuwV;If You Were There, Beware;59;276200;0;Arctic Monkeys;7Ln80lUS6He07XvHI8qqHH;2007-04-22;0.328;0.805;4;-6.74;0;0.0383;0.000938;0.048;0.104;0.264;135.546;4
0DKvcH4SCRdhVYTxStKx9h;This House is a Circus;59;191680;0;Arctic Monkeys;7Ln80lUS6He07XvHI8qqHH;2007-04-22;0.476;0.844;7;-5.253;1;0.0431;1.81e-05;0.00196;0.272;0.658;155.322;4
6wVWJl64yoTzU27EI8ep20;Crying Lightning;66;224827;0;Arctic Monkeys;7Ln80lUS6He07XvHI8qqHH;2009-08-20;0.498;0.885;4;-4.423;0;0.0461;0.0148;0.00041;0.239;0.67;106.719;4
5bsnLiT00hG37qd8p2jdVl;Cornerstone;64;197973;0;Arctic Monkeys;7Ln80lUS6He07XvHI8qqHH;2009-08-20;0.287;0.721;9;-5.81;1;0.0387;0.00764;0.0;0.328;0.763;169.252;4
2hmHlBM0kPBm17Y7nVIW9f;My Propeller;60;205747;0;Arctic Monkeys;7Ln80lUS6He07XvHI8qqHH;2009-08-20;0.415;0.657;9;-6.758;0;0.0295;0.052;0.0552;0.233;0.69;115.752;4
0S6CXA5LpRDX6b4akgrOot;Love is a Laserquest;62;191427;0;Arctic Monkeys;7Ln80lUS6He07XvHI8qqHH;2011-06-06;0.349;0.662;11;-6.873;1;0.0402;0.00197;0.908;0.136;0.554;169.926;4
0LxeKwg9t7HOnyfv4bTALT;Suck It and See;61;225987;0;Arctic Monkeys;7Ln80lUS6He07XvHI8qqHH;2011-06-06;0.339;0.932;4;-5.017;1;0.057;0.00105;0.114;0.255;0.586;128.291;4
3czdA0j4iaLDJJCoT5D8iP;Don't Sit Down 'Cause I've Moved Your Chair;60;183507;0;Arctic Monkeys;7Ln80lUS6He07XvHI8qqHH;2011-06-06;0.434;0.912;9;-5.148;1;0.0451;0.0191;0.278;0.326;0.315;119.729;4
4Ai0ANRDYwx6mCD4Uty1WS;Piledriver Waltz;59;203880;0;Arctic Monkeys;7Ln80lUS6He07XvHI8qqHH;2011-06-06;0.443;0.865;4;-4.547;1;0.0391;0.00724;0.000116;0.468;0.474;110.008;4
5FVd6KXrgO9B3JPmC8OPst;Do I Wanna Know?;87;272394;0;Arctic Monkeys;7Ln80lUS6He07XvHI8qqHH;2013-09-09;0.548;0.532;5;-7.596;1;0.0323;0.186;0.000263;0.217;0.405;85.03;4
086myS9r57YsLbJpU0TgK9;Why'd You Only Call Me When You're High?;86;161124;0;Arctic Monkeys;7Ln80lUS6He07XvHI8qqHH;2013-09-09;0.691;0.631;2;-6.478;1;0.0368;0.0483;1.13e-05;0.104;0.8;92.004;4
5XeFesFbtLpXzIVDNQP22n;I Wanna Be Yours;82;183956;0;Arctic Monkeys;7Ln80lUS6He07XvHI8qqHH;2013-09-09;0.464;0.417;0;-9.345;0;0.0256;0.136;0.022;0.0974;0.479;67.528;4
2AT8iROs4FQueDv2c8q2KE;R U Mine?;81;201726;0;Arctic Monkeys;7Ln80lUS6He07XvHI8qqHH;2013-09-09;0.288;0.758;6;-5.692;0;0.0371;0.00616;0.0;0.303;0.619;97.094;4
7nzsY8vlnKdvGOEE0rjAXZ;Arabella;76;207357;0;Arctic Monkeys;7Ln80lUS6He07XvHI8qqHH;2013-09-09;0.579;0.558;2;-6.986;1;0.0895;0.0202;1.26e-06;0.212;0.506;179.949;4
0NdTUS4UiNYCNn5FgVqKQY;Snap Out Of It;74;193030;0;Arctic Monkeys;7Ln80lUS6He07XvHI8qqHH;2013-09-09;0.728;0.638;5;-6.455;0;0.0336;0.249;0.0;0.116;0.872;130.014;4
2LGdO5MtFdyphi2EihANZG;Knee Socks;73;257563;0;Arctic Monkeys;7Ln80lUS6He07XvHI8qqHH;2013-09-09;0.665;0.542;11;-8.323;0;0.033;0.123;0.00291;0.342;0.587;97.975;4
5TTGoX70AFrTvuEtqHK37S;No. 1 Party Anthem;67;243132;0;Arctic Monkeys;7Ln80lUS6He07XvHI8qqHH;2013-09-09;0.505;0.698;0;-5.563;1;0.0297;0.33;0.0887;0.0966;0.599;115.013;4
6wNUBZNWFxdUGof6vkaykE;One For The Road;67;206052;0;Arctic Monkeys;7Ln80lUS6He07XvHI8qqHH;2013-09-09;0.415;0.668;0;-6.849;1;0.036;0.212;0.0615;0.27;0.842;180.048;4
4atMrAadB7dS8xn9vfk9PQ;Fireside;65;181049;0;Arctic Monkeys;7Ln80lUS6He07XvHI8qqHH;2013-09-09;0.538;0.953;9;-5.611;0;0.056;0.0234;0.00126;0.113;0.74;100.033;4
1j9rezdE3YeC7yktZXC1em;I Want It All;64;185406;0;Arctic Monkeys;7Ln80lUS6He07XvHI8qqHH;2013-09-09;0.499;0.81;5;-5.579;1;0.0347;0.000637;0.0748;0.0625;0.288;131.052;4
75n7mraeMycQOl2sDGYaTe;Mad Sounds;64;215012;0;Arctic Monkeys;7Ln80lUS6He07XvHI8qqHH;2013-09-09;0.532;0.462;10;-10.71;1;0.03;0.279;0.196;0.101;0.485;80.001;4
2QUlMbvD9bL8wHqfsoqoet;Stop The World I Wanna Get Off With You;64;191040;0;Arctic Monkeys;7Ln80lUS6He07XvHI8qqHH;2013-09-02;0.661;0.73;6;-6.779;0;0.0574;0.0537;3.44e-05;0.14;0.53;95.027;4
05FVS9qqWq2A82fYCtblkt;Who The Fuck Are Arctic Monkeys?;58;336827;0;Arctic Monkeys;7Ln80lUS6He07XvHI8qqHH;2006-04-22;0.348;0.896;4;-7.63;0;0.0397;0.000216;0.0173;0.168;0.572;132.577;4
64a5XZCVDWwvC7gwPPCsH6;Still Take You Home;58;173667;0;Arctic Monkeys;7Ln80lUS6He07XvHI8qqHH;2006-01-29;0.599;0.946;8;-4.192;1;0.0378;0.000669;0.0;0.0973;0.653;108.934;4
56GFlp1dkt7dw56pQdTwqW;Red Light Indicates Doors Are Secured;57;143627;0;Arctic Monkeys;7Ln80lUS6He07XvHI8qqHH;2006-01-29;0.622;0.846;11;-4.831;0;0.0311;0.00316;0.0;0.0989;0.914;110.683;4
605E2oDpy3uSIhbRFcrQyn;Despair In The Departure Lounge;57;202853;0;Arctic Monkeys;7Ln80lUS6He07XvHI8qqHH;2006-04-22;0.316;0.306;2;-13.322;1;0.0411;0.676;0.0025;0.0809;0.284;85.255;4
